iter	Passed	Remaining
423	1890	3459
424	1893	3452
425	1896	3445
426	1899	3439
427	1913	3450
428	1918	3448
429	1921	3441
430	1925	3434
431	1928	3428
432	1931	3421
433	1934	3415
434	1938	3408
435	1941	3401
436	1944	3394
437	1947	3388
438	1951	3382
439	1960	3386
440	1967	3386
441	1971	3380
442	1974	3373
443	1977	3367
444	1980	3360
445	1983	3353
446	1987	3347
447	1990	3341
448	1994	3336
449	2008	3347
450	2016	3348
451	2019	3342
452	2023	3336
453	2026	3330
454	2030	3324
455	2033	3317
456	2036	3311
457	2039	3304
458	2042	3298
459	2062	3318
460	2065	3311
461	2069	3305
462	2072	3298
463	2075	3292
464	2078	3285
465	2082	3279
466	2085	3272
467	2088	3266
468	2091	3259
469	2104	3268
470	2110	3266
471	2113	3259
472	2116	3253
473	2119	3246
474	2123	3240
475	2126	3234
476	2129	3227
477	2132	3221
478	2135	3214
479	2139	3208
480	2142	3202
481	2149	3201
482	2159	3205
483	2163	3200
484	2167	3194
485	2171	3189
486	2174	3184
487	2179	3179
488	2182	3173
489	2185	3166
490	2188	3160
491	2204	3172
492	2213	3174
493	2222	3176
494	2229	3175
495	2233	3169
496	2236	3163
497	2239	3157
498	2247	3156
499	2257	3160
500	2260	3153
501	2263	3147
502	2267	3142
503	2272	3138
504	2277	3133
505	2281	3129
506	2285	3123
507	2292	3122
508	2298	3120
509	2304	3118
510	2308	3112
511	2311	3105
512	2314	3099
513	2317	3093
514	2320	3086
515	2323	3080
516	2327	3074
517	2330	3068
518	2333	3062
519	2340	3060
520	2345	3056
521	2350	3052
522	2353	3046
523	2356	3040
524	2359	3034
525	2362	3027
526	2366	3022
527	2369	3015
528	2373	3010
529	2378	3006
530	2382	3001
531	2387	2997
532	2392	2993
533	2397	2989
534	2400	2984
535	2404	2978
536	2407	2972
537	2410	2965
538	2413	2959
539	2416	2953
540	2419	2947
541	2422	2941
542	2425	2935
543	2429	2929
544	2433	2924
545	2438	2921
546	2448	2923
547	2451	2917
548	2454	2911
549	2458	2905
550	2461	2899
551	2464	2893
552	2467	2887
553	2473	2884
554	2478	2880
555	2483	2876
556	2498	2884
557	2501	2878
558	2504	2871
559	2507	2865
560	2510	2859
561	2513	2853
562	2517	2847
563	2520	2841
564	2523	2835
565	2526	2829
566	2532	2827
567	2537	2823
568	2542	2819
569	2545	2813
570	2549	2808
571	2552	2801
572	2555	2796
573	2558	2790
574	2561	2784
575	2564	2778
576	2568	2772
577	2577	2773
578	2586	2774
579	2595	2774
580	2600	2770
581	2604	2765
582	2607	2759
583	2610	2753
584	2613	2747
585	2616	2742
586	2620	2736
587	2624	2731
588	2629	2727
589	2634	2724
590	2638	2719
591	2642	2713
592	2645	2707
593	2648	2702
594	2651	2696
595	2654	2690
596	2657	2684
597	2661	2678
598	2664	2673
599	2667	2667
600	2672	2663
601	2682	2665
602	2687	2660
603	2690	2654
604	2693	2648
605	2696	2643
606	2699	2637
607	2702	2631
608	2705	2625
609	2709	2620
610	2712	2614
611	2715	2609
612	2720	2604
613	2725	2600
614	2730	2596
615	2735	2593
616	2738	2587
617	2741	2581
618	2744	2576
619	2747	2570
620	2750	2564
621	2753	2559
622	2756	2553
623	2760	2547
624	2763	2542
625	2776	2545
626	2782	2542
627	2785	2536
628	2788	2531
629	2791	2525
630	2794	2520
631	2797	2514
632	2801	2509
633	2804	2503
634	2807	2497
635	2810	2492
636	2824	2496
637	2829	2492
638	2833	2487
639	2836	2481
640	2839	2476
641	2842	2470
642	2845	2464
643	2848	2459
644	2852	2454
645	2855	2448
646	2858	2442
647	2861	2437
648	2868	2435
649	2877	2434
650	2880	2429
651	2884	2424
652	2887	2418
653	2890	2413
654	2894	2408
655	2897	2402
656	2900	2397
657	2903	2391
658	2907	2386
659	2917	2387
660	2923	2384
661	2927	2379
662	2933	2375
663	2937	2371
664	2941	2366
665	2945	2361
666	2949	2356
667	2954	2352
668	2958	2347
669	2971	2350
670	2978	2348
671	2982	2343
672	2986	2338
673	2989	2333
674	2993	2328
675	2996	2322
676	3000	2317
677	3003	2312
678	3010	2309
679	3017	2307
680	3022	2303
681	3026	2298
682	3030	2293
683	3033	2288
684	3037	2283
685	3040	2278
686	3044	2273
687	3047	2268
688	3051	2263
689	3068	2268
690	3072	2263
691	3076	2258
692	3080	2253
693	3084	2248
694	3087	2243
695	3091	2238
696	3094	2233
697	3099	2228
698	3102	2223
699	3106	2219
700	3110	2213
701	3114	2209
702	3117	2203
703	3121	2199
704	3125	2194
705	3129	2189
706	3132	2184
707	3136	2179
708	3139	2174
709	3143	2169
710	3146	2164
711	3150	2159
712	3153	2154
713	3157	2148
714	3161	2144
715	3166	2140
716	3176	2139
717	3185	2138
718	3196	2138
719	3202	2134
720	3206	2130
721	3209	2124
722	3213	2120
723	3216	2114
724	3221	2110
725	3224	2105
726	3229	2101
727	3234	2097
728	3239	2093
729	3245	2089
730	3249	2084
731	3252	2079
732	3256	2074
733	3260	2069
734	3265	2065
735	3269	2061
736	3273	2056
737	3276	2051
738	3280	2046
739	3283	2041
740	3286	2035
741	3291	2031
742	3294	2026
743	3298	2021
744	3301	2016
745	3305	2011
746	3308	2006
747	3312	2001
748	3315	1996
749	3319	1991
750	3322	1986
751	3325	1981
752	3328	1976
753	3332	1970
754	3335	1965
755	3340	1962
756	3344	1957
757	3347	1952
758	3350	1946
759	3354	1941
760	3357	1936
761	3360	1931
762	3363	1926
763	3366	1921
764	3369	1916
765	3373	1911
766	3376	1906
767	3379	1900
768	3382	1895
769	3385	1890
770	3389	1885
771	3392	1880
772	3395	1875
773	3398	1870
774	3402	1865
775	3405	1860
776	3408	1855
777	3411	1850
778	3414	1845
779	3418	1840
780	3421	1835
781	3424	1830
782	3428	1826
783	3432	1821
784	3439	1818
785	3443	1813
786	3447	1809
787	3451	1804
